1	4
1	14
2	5
2	15
3	14
4	13
5	4
5	13
6	6
6	15
7	2
7	3
7	12
8	0
8	1
9	2
9	3
10	3
11	13
12	3
14	5
14	6
14	15
15	2
15	3
16	1
16	2
17	3
17	4
17	13
18	3
18	4
18	13
19	4
19	5
19	14
20	3
20	4
20	13
21	0
21	1
21	10
22	15
23	5
23	14
24	2
26	5
26	6
26	15
27	6
28	5
28	14
29	3
29	4
30	0
31	3
31	4
31	13
32	0
33	1
34	3
34	4
35	4
36	6
38	3
38	12
39	5
39	15
40	0
40	1
40	2
40	3
40	10
40	12
40	14
40	15
41	4
41	5
42	1
43	0
43	10
44	5
45	3
46	13
47	1
49	6
50	5
50	14
51	2
52	14
53	2
54	2
54	3
55	0
55	10
56	1
56	2
57	5
57	6
57	15
57	2
59	2
59	3
59	12
60	4
60	5
61	6
61	15
62	3
62	4
63	6
63	7
65	2
66	13
67	4
67	5
68	2
68	3
68	12
70	1
70	2
71	5
71	14
72	3
72	5
72	6
72	3
74	4
74	5
74	14
75	1
75	10
76	5
76	14
77	0
77	1
78	4
78	14
79	3
79	4
81	6
82	3
83	13
84	2
85	2
85	3
86	0
86	1
86	2
87	4
87	5
87	14
88	1
89	4
89	13
90	5
91	0
92	3
93	4
93	5
94	2
95	4
95	5
95	14
96	2
96	3
97	1
97	2
97	3
97	4
97	5
97	6
97	7
97	13
98	3
99	3
100	0
100	1
100	10
101	13
102	7
103	2
103	12
104	1
105	0
106	4
106	5
108	1
108	2
110	5
110	14
111	4
111	5
111	14
112	4
112	14
114	0
114	10
115	4
115	13
116	6
116	7
117	1
118	0
118	10
119	4
120	6
120	15
121	1
121	2
121	3
121	12
122	0
122	1
122	2
122	3
122	4
122	5
122	6
122	7
122	10
122	12
122	14
122	15
123	3
123	12
124	3
124	13
125	0
125	1
126	10
127	4
127	13
127	14
128	3
128	13
129	6
129	15
130	3
130	4
130	14
131	4
131	5
131	14
132	3
132	13
133	0
133	1
133	10
134	3
134	4
134	13
135	3
135	4
135	14
136	3
137	5
137	14
138	5
139	0
139	1
139	2
139	3
139	5
139	10
139	15
141	1
141	2
142	4
142	5
143	6
143	15
144	2
145	3
145	4
146	5
146	14
147	4
148	7
149	5
149	6
149	15
150	6
150	15
151	1
151	2
153	1
153	2
154	1
154	2
155	2
155	3
156	5
156	14
156	15
157	5
157	14
157	15
158	13
158	14
158	13
159	2
160	5
160	6
160	15
161	2
161	3
161	1
162	10
163	6
163	15
164	3
165	1
166	6
166	15
167	3
168	14
169	0
169	1
171	2
171	3
171	4
171	13
172	5
172	14
173	5
173	6
173	15
174	2
174	3
175	2
175	3
176	4
176	5
178	5
178	14
179	4
179	5
179	14
180	2
181	4
181	13
182	5
182	6
182	15
183	2
183	3
183	12
184	1
185	4
185	5
185	14
187	0
189	6
189	15
190	14
191	1
191	2
192	1
192	10
192	4
193	12
194	1
194	2
195	1
195	2
196	6
196	15
197	1
198	2
199	13
200	3
201	2
202	1
203	3
203	12
205	3
205	4
205	13
206	3
206	4
206	13
208	5
208	6
208	15
209	5
209	14
211	3
211	12
213	3
214	3
214	4
214	13
215	1
216	1
217	4
218	6
218	7
219	0
220	2
221	3
222	3
222	4
223	5
223	14
224	4
224	14
225	1
225	2
225	12
226	3
227	3
228	4
228	13
228	14
229	3
229	4
229	13
230	3
231	3
231	14
231	15
232	5
232	14
233	2
234	14
235	0
237	13
238	3
239	3
239	13
241	1
242	5
242	14
244	5
244	6
244	14
244	15
247	4
247	5
247	14
248	2
248	3
248	4
249	3
249	13
252	5
252	14
254	4
255	5
255	6
255	15
256	2
256	3
256	12
257	3
258	3
258	12
259	4
259	5
259	14
260	4
260	5
260	14
261	1
262	0
262	1
263	4
263	5
264	14
265	0
265	1
265	2
265	3
265	4
265	5
265	6
265	7
265	12
266	5
266	6
266	15
267	3
267	13
268	5
268	14
269	1
270	3
272	0
272	10
273	0
273	1
273	2
273	3
273	4
273	5
273	6
273	7
273	12
273	13
274	3
274	4
274	13
275	2
276	0
276	1
276	2
276	10
277	4
277	5
278	3
279	2
279	3
280	0
280	1
280	10
281	5
282	2
282	3
285	2
286	2
287	3
288	2
289	4
289	5
289	14
290	0
291	0
292	3
292	4
292	13
293	1
294	5
294	14
295	4
295	5
295	14
296	1
296	2
297	3
298	4
298	13
298	14
299	1
299	2
300	2
300	3


















